Name,Sweet,Sour,Texture,Sparkling,Localisation,lat,lng,pourcent,Ingredients,description,link,Fruit/vegetable,Nuts
화성 호랑이 생막걸리,4,2,3,5,배혜정도가,37.1603631,126.9713854,6%,Rice ,부드러운 닷맛과 적당한 산미. 부드러운 탄산으로 목넘김이 좋다,N/A,No,No
양평 지평 생막걸리,3,2,3,2,지평주조,37.4916,127.4875,5%,쌀/밀,쌀과 누룩의 풍미가 적당히 잘 잡혀있다.목넘김이 부드럽고 깔끔한 맛,N/A,No,No
가평 잣생막걸리,2,1,3,3,주)우리술,37.83101,127.51059,6%,쌀/잣,청와대 공식만찬주로 선정 맛이 부드럽고 깔끔 흔들어 먹기를 추천,https://woorisool.kr/,No,Yes
인천 생소성주,1,5,3,3,인천탁주,37.5217893,126.7076232,6%,쌀/팽화미,인천지역 대표막걸리. 부드럽고 톡쏘는 탄산의 상쾌한 청량감이 느껴지며/ 특유의 감칠맛이 매력적이다.,https://sosungju.modoo.at/,No,No
서울 장수 생막걸리,3,2,3,3,서울탁주,37.5563945,126.9003339,6%,쌀90%,서울지역 대표막걸리. 감칠맛과 청량감이 좋다,http://www.koreawine.co.kr/,No,No
김천 배금도가,2,4,3,1,탁주배금도가(경북 김천),36.5754,128.5058,12%,찹쌀/ 맵쌀/ 누룩,술이 주는 이끌림으로 한국의 풍미 가득 담은 찹쌀막걸리. good with 멍게,N/A,No,No
Ehwaju Makgeolli – 이화주,3,3,5,0,Kooksoondang (국순당),37.566,126.9784,14.5%,Rice,Super thick and creamy like yoghurt,http://www.ksdb.co.kr/,No,No
지평생막걸리,3,1,3,5,Jipyeong brewery - yangpyeong,37.48972,127.49056,5%,Rice,,https://grand.ggtour.or.kr/En/Grand/tour_view.php?tsort=20&msort=24&list_type=1&no=380&no2=380,No,No
HBAF Honey Butter Almond makgeolli,5,1,3,3,Seoul jangsoo,36.97376,127.42299,5%,"Rice, honey, nuts butter",,,No,Yes
Mapcy original whitelabel,2,3,3,1,Mapcy - Meokjin brewery,37.72975,126.63616,6%,Rice,,https://mapcy.kr/,No,No
Mapcy vanilla red label,4,2,3,4,Mapcy - Meokjin brewery,37.72976,126.63617,5%,"Rice, vanilla",,https://mapcy.kr/,Yes,No
